,company_name,estab_year,employees_count,emp_overall_rating,emp_wl_bal_rating,emp_salary_n_benefits_rating,emp_comp_culture_rating,emp_career_growth_rating,emp_diversity_n_inclusion_rating,emp_likely_to_recomm_rating
140,LeadSquared,2012,200 - 500,3.9,3.6,3.9,3.8,4.1,4.0,4.0
141,One Muthoot,2016,1000+,3.4,3.4,2.8,3.4,2.9,3.1,3.3
142,OYO Rooms,2013,1000+,3.4,3.0,3.4,3.2,3.4,3.4,2.6
143,PhonePe,2015,1000+,4.3,4.0,4.2,4.3,4.1,4.3,4.3
144,TechStar Group,2002,200 - 500,5.0,5.0,4.5,5.0,4.5,4.5,5.0
145,Clear,2011,1000+,3.6,3.3,3.5,3.5,3.6,3.6,3.3
146,interface.ai,2019,50 - 200,4.2,3.5,3.9,3.7,4.0,4.0,4.2
147,MOBtexting,2012,50 - 200,4.1,3.8,3.2,3.5,3.8,3.9,3.8
148,Neeman's,2018,10 - 50,4.8,4.7,4.6,4.7,4.7,4.9,4.7
149,Nirvana Insurance,2021,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
150,OnGrid,2016,200 - 500,3.7,5.0,4.0,5.0,4.0,5.0,4.0
151,BYJU'S,2011,1000+,3.5,2.7,3.8,3.1,3.6,3.3,2.8
152,Carelon,2022,1000+,4.0,3.8,3.7,4.0,3.9,4.0,4.0
153,Carelon Global Solutions,2017,1000+,4.0,3.8,3.7,4.0,3.9,4.0,4.0
154,Citrix,1989,1000+,4.0,4.0,4.0,4.1,3.8,4.2,3.9
155,Lokal,2018,50 - 200,4.7,4.4,4.3,4.5,4.3,4.4,4.7
156,Nov,1841,1000+,3.6,3.6,3.3,3.5,3.2,3.8,3.4
157,Squared Circle E-Com,2019,200 - 500,4.0,3.8,3.7,4.0,3.9,4.0,4.0
158,CubeHQ,2022,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
159,GetVantage,2019,10 - 50,3.0,3.8,3.7,4.0,3.9,4.0,4.0
160,GyanDhan,2015,10 - 50,3.8,3.7,3.2,3.7,3.5,4.0,3.5
161,Hy-Vee,1930,1000+,3.4,3.3,3.1,3.2,3.3,3.5,2.8
162,Leena AI,2015,200 - 500,4.0,3.8,3.9,3.7,3.8,4.0,3.9
163,Freeskout,2020,200 - 500,2.3,1.2,2.0,2.0,2.3,2.2,1.2
164,ImSafeNow,2017,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
165,Reliance Jio,2016,500 - 1000,3.8,3.4,3.4,3.6,3.6,3.7,3.5
166,Rubrik,2015,500 - 1000,3.9,3.3,4.1,3.8,3.7,4.0,3.5
167,SDLC Corp,2015,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
168,CloudBloom,2017,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
169,Gameberry Labs,2017,50 - 200,4.5,4.3,4.4,4.5,4.4,4.2,4.3
170,Meeraq,2022,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
171,My Value Trip,2014,200 - 500,4.0,3.8,3.7,4.0,3.9,4.0,4.0
